LSOA11CD,primary_code,primary_type,COA,ACS,OPS,WIC,WAL,GRQ,URB,DIS,DRN,CRN,DUN,LOU,DIU,REU,OUT,MEU,HDU
E01000007,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0,0.822702521,0.177297475,0,0,0,0,0
E01000015,DRN,Dense residential neighbourhoods,0,0,0.00111685,0,0,0,0,0.022814644,0.70763504,0.136794023,0.130250876,0,0,0,0,0,0
E01000030,DRN,Dense residential neighbourhoods,0,0,0,0,0.427741771,0,0,0,0.572258226,0,0,0,0,0,0,0,0
E01000085,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0.171807853,0.126566579,0.701625567,0,0,0,0,0,0
E01000118,CRN,Connected residential neighbourhoods,0,0.33971372,0.036230213,0,0,0.13201181,0,0,0.00428011,0.487764143,0,0,0,0,0,0,0
E01000125,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0,0.867403795,0.132596231,0,0,0,0,0,0
E01000136,WAL,Warehouse/Park land,0,0,0.051476874,0,0.443032961,0,0,0.01231005,0.427005959,0.029230201,0.036943958,0,0,0,0,0,0
E01000145,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0,0.999999969,0,0,0,0,0,0,0
E01000146,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0.083465023,0.916534994,0,0,0,0,0,0,0
E01000166,OPS,Open sprawl,0,0,0.893081018,0,0.091905986,0,0,0.015012976,0,0,0,0,0,0,0,0,0
E01000172,CRN,Connected residential neighbourhoods,0,0.009529635,0,0,0,0,0,0,0.181102465,0.80936792,0,0,0,0,0,0,0
E01000194,CRN,Connected residential neighbourhoods,0,0.035260291,0,0,0,0,0,0,0.177642549,0.700887742,0.086209408,0,0,0,0,0,0
E01000203,CRN,Connected residential neighbourhoods,0,0,0,0,0,0,0,0,0.293301831,0.706698151,0,0,0,0,0,0,0
E01000218,DUN,Dense urban neighbourhoods,0,0,0,0,0,0,0,0,0,0.155870988,0.844128993,0,0,0,0,0,0
E01000251,DRN,Dense residential neighbourhoods,0,0,0.064225718,0,0,0,0,0.006788771,0.56242646,0.366559064,0,0,0,0,0,0,0
E01000292,DRN,Dense residential neighbourhoods,0,0.054509717,0.087467398,0,0,0,0,0,0.858022911,0,0,0,0,0,0,0,0
E01000322,DRN,Dense residential neighbourhoods,0,0,0.022625832,0,0,0,0,0.179969381,0.797404786,0,0,0,0,0,0,0,0
E01000351,ACS,Accessible suburbia,0,0.999999981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000355,ACS,Accessible suburbia,0,0.999907779,0,0,0,0,0,0,0,9.22E-05,0,0,0,0,0,0,0
E01000357,ACS,Accessible suburbia,0,1.000000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000364,OPS,Open sprawl,0,0.008564501,0.97559127,0,0.001741906,0,0,0,0.014102322,0,0,0,0,0,0,0,0
E01000371,ACS,Accessible suburbia,0,0.999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000389,ACS,Accessible suburbia,0,0.711904988,0.076432095,0,0,0,0,0.05166478,0.159998117,0,0,0,0,0,0,0,0
E01000404,WAL,Warehouse/Park land,0,0,0,0,0.999999969,0,0,0,0,0,0,0,0,0,0,0,0
E01000406,WAL,Warehouse/Park land,0,0.00545022,0.350774002,0,0.640305975,0,0,0.003468556,1.25E-06,0,0,0,0,0,0,0,0
E01000423,ACS,Accessible suburbia,0,0.722608091,0,0,0.275579375,0,0,0,0,0.001812535,0,0,0,0,0,0,0
E01000428,WAL,Warehouse/Park land,0,0,0.005675882,0,0.908076894,0,0,0.004679997,0.081567253,0,0,0,0,0,0,0,0
E01000429,WAL,Warehouse/Park land,0,0,0.000101378,0,0.95391731,0,0,0,0.045981357,0,0,0,0,0,0,0,0
E01000467,WAL,Warehouse/Park land,0,0,0,0,0.706117214,0,0,0.293882796,0,0,0,0,0,0,0,0,0
E01000516,CRN,Connected residential neighbourhoods,0,0.210771645,0,0,0,0,0,0,0,0.789228375,0,0,0,0,0,0,0
